title,date,media,location,url,image_urls,dimensions,scraped_at
Stephen Salisbury I,1824,,,https://www.wikiart.org/es/gilbert-stuart/stephen-salisbury-i-1824,https://uploads0.wikiart.org/images/gilbert-stuart/stephen-salisbury-i-1824.jpg,,23 April 2025
The Skater (Portrait of William Grant),1782,"oil, canvas","National Gallery of Art, Washington, DC, US",https://www.wikiart.org/en/gilbert-stuart/the-skater-portrait-of-william-grant-1782,https://uploads0.wikiart.org/images/gilbert-stuart/the-skater-portrait-of-william-grant-1782.jpg!Large.jpg,147.4 x 245.5 cm,23 April 2025
Thomas Jefferson,1821,,,https://www.wikiart.org/de/gilbert-stuart/thomas-jefferson-1821,https://uploads7.wikiart.org/images/gilbert-stuart/thomas-jefferson-1821.jpg!Large.jpg,,23 April 2025
Russell Sturgis,1822,,,https://www.wikiart.org/de/gilbert-stuart/russell-sturgis-1822,https://uploads5.wikiart.org/images/gilbert-stuart/russell-sturgis-1822.jpg,,23 April 2025
James Monroe,1822,,,https://www.wikiart.org/de/gilbert-stuart/james-monroe-1822,https://uploads3.wikiart.org/images/gilbert-stuart/james-monroe-1822.jpg!Large.jpg,,23 April 2025
Elisabeth Bender Greenough,1820,,,https://www.wikiart.org/de/gilbert-stuart/elisabeth-bender-greenough-1820,https://uploads7.wikiart.org/images/gilbert-stuart/elisabeth-bender-greenough-1820.jpg,,23 April 2025
Sarah Wentworth Apthorp Morton,1820,,,https://www.wikiart.org/de/gilbert-stuart/sarah-wentworth-apthorp-morton-1820,https://uploads2.wikiart.org/images/gilbert-stuart/sarah-wentworth-apthorp-morton-1820.jpg,,23 April 2025
Washington Allston,1820,,,https://www.wikiart.org/de/gilbert-stuart/washington-allston-1820,https://uploads0.wikiart.org/images/gilbert-stuart/washington-allston-1820.jpg!Large.jpg,,23 April 2025
Mrs. Andrew Sigourney,1820,,,https://www.wikiart.org/de/gilbert-stuart/mrs-andrew-sigourney-1820,https://uploads2.wikiart.org/images/gilbert-stuart/mrs-andrew-sigourney-1820.jpg!Large.jpg,,23 April 2025
Margaret Crease Stackpole Welch,1815,,,https://www.wikiart.org/de/gilbert-stuart/margaret-crease-stackpole-welch-1815,https://uploads3.wikiart.org/images/gilbert-stuart/margaret-crease-stackpole-welch-1815.jpg,,23 April 2025
Francis Welch,1815,,,https://www.wikiart.org/de/gilbert-stuart/francis-welch-1815,https://uploads3.wikiart.org/images/gilbert-stuart/francis-welch-1815.jpg,,23 April 2025
Abigail Adams,1815,,,https://www.wikiart.org/de/gilbert-stuart/abigail-adams-1815,https://uploads4.wikiart.org/images/gilbert-stuart/abigail-adams-1815.jpg!Large.jpg,,23 April 2025
"David Sears, Jr.",1815,,,https://www.wikiart.org/de/gilbert-stuart/david-sears-jr-1815,https://uploads5.wikiart.org/images/gilbert-stuart/david-sears-jr-1815.jpg!Large.jpg,,23 April 2025
John Adams,1815,,,https://www.wikiart.org/de/gilbert-stuart/john-adams-1815,https://uploads1.wikiart.org/images/gilbert-stuart/john-adams-1815.jpg!Large.jpg,,23 April 2025
Samuel Alleyne Otis,1813,,,https://www.wikiart.org/de/gilbert-stuart/samuel-alleyne-otis-1813,https://uploads1.wikiart.org/images/gilbert-stuart/samuel-alleyne-otis-1813.jpg!Large.jpg,,23 April 2025
Sarah Homes Tappan,1814,,,https://www.wikiart.org/de/gilbert-stuart/sarah-homes-tappan-1814,https://uploads0.wikiart.org/images/gilbert-stuart/sarah-homes-tappan-1814.jpg!Large.jpg,,23 April 2025
Samuel Salisbury,1811,,,https://www.wikiart.org/de/gilbert-stuart/samuel-salisbury-1811,https://uploads6.wikiart.org/images/gilbert-stuart/samuel-salisbury-1811.jpg,,23 April 2025
Elizabeth Tuckerman Salisbury,1811,,,https://www.wikiart.org/de/gilbert-stuart/elizabeth-tuckerman-salisbury-1811,https://uploads1.wikiart.org/images/gilbert-stuart/elizabeth-tuckerman-salisbury-1811.jpg,,23 April 2025
Washington at Dorchester Heights,1806,,,https://www.wikiart.org/de/gilbert-stuart/washington-at-dorchester-heights-1806,https://uploads8.wikiart.org/00286/images/gilbert-stuart/washington-at-dorchester-heights-1806.jpg,,23 April 2025
Eleanor Parke Custis Lewis(Washington’s granddaughter),1804,,,https://www.wikiart.org/de/gilbert-stuart/eleanor-parke-custis-lewis-washington-s-granddaughter-1804,https://uploads8.wikiart.org/images/gilbert-stuart/eleanor-parke-custis-lewis-washington-s-granddaughter-1804.jpg!Large.jpg,,23 April 2025
Dolley Madison (Mrs. James Madison),1804,,,https://www.wikiart.org/de/gilbert-stuart/dolley-madison-mrs-james-madison-1804,https://uploads0.wikiart.org/00286/images/gilbert-stuart/dolley-madison-mrs-james-madison-1804.jpg!Large.jpg,,23 April 2025
George Washington,1803,,,https://www.wikiart.org/de/gilbert-stuart/george-washington-1803,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1803.jpg!Large.jpg,,23 April 2025
"Louis-Marie, Vicomte de Noailles",1798,,,https://www.wikiart.org/de/gilbert-stuart/louis-marie-vicomte-de-noailles-1798,https://uploads4.wikiart.org/images/gilbert-stuart/louis-marie-vicomte-de-noailles-1798.jpg!Large.jpg,,23 April 2025
Albert Gallatin,1803,,,https://www.wikiart.org/de/gilbert-stuart/albert-gallatin-1803,https://uploads6.wikiart.org/images/gilbert-stuart/albert-gallatin-1803.jpg!Large.jpg,,23 April 2025
Joseph Anthony Jr.,1798,,,https://www.wikiart.org/de/gilbert-stuart/joseph-anthony-jr-1798,https://uploads8.wikiart.org/images/gilbert-stuart/joseph-anthony-jr-1798.jpg!Large.jpg,,23 April 2025
Mrs. Joseph Anthony Jr. (Henrietta Hillegas),1798,,,https://www.wikiart.org/de/gilbert-stuart/mrs-joseph-anthony-jr-henrietta-hillegas-1798,https://uploads4.wikiart.org/images/gilbert-stuart/mrs-joseph-anthony-jr-henrietta-hillegas-1798.jpg!Large.jpg,,23 April 2025
George Washington (The Landsdowne Portrait),1796,"Öl, canvas",Brooklyn Museum,https://www.wikiart.org/de/gilbert-stuart/george-washington-the-landsdowne-portrait-1796,https://uploads0.wikiart.org/00286/images/gilbert-stuart/george-washington-the-landsdowne-portrait-1796.jpg!Large.jpg,,23 April 2025
George Washington (Vaughan portrait),1795,"Öl, canvas",National Gallery of Art,https://www.wikiart.org/de/gilbert-stuart/george-washington-1800,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1800.jpg!Large.jpg,,23 April 2025
George Pollock,1794,,,https://www.wikiart.org/de/gilbert-stuart/george-pollock-1794,https://uploads5.wikiart.org/images/gilbert-stuart/george-pollock-1794.jpg!Large.jpg,,23 April 2025
James Madison,1821,,,https://www.wikiart.org/de/gilbert-stuart/james-madison-1821,https://uploads4.wikiart.org/images/gilbert-stuart/james-madison-1821.jpg!Large.jpg,,23 April 2025
Catherine Brass Yates (Mrs. Richard Yates),1794,"Öl, canvas",National Gallery of Art,https://www.wikiart.org/de/gilbert-stuart/catherine-brass-yates-mrs-richard-yates-1794,https://uploads3.wikiart.org/images/gilbert-stuart/catherine-brass-yates-mrs-richard-yates-1794.jpg!Large.jpg,,23 April 2025
